corridor,date,hour,price,allocatedCapacity,ATC,delivery_begin_time_ch
CH-DE,01/01/2019,00:00-01:00,0,4232,4233,2019-01-01 00:00:00+01:00
CH-DE,01/01/2019,01:00-02:00,0,4232,4233,2019-01-01 01:00:00+01:00
CH-DE,01/01/2019,02:00-03:00,0,4232,4233,2019-01-01 02:00:00+01:00
CH-DE,01/01/2019,03:00-04:00,0,4232,4233,2019-01-01 03:00:00+01:00
CH-DE,01/01/2019,04:00-05:00,0,4232,4233,2019-01-01 04:00:00+01:00
CH-DE,01/01/2019,05:00-06:00,0,4232,4233,2019-01-01 05:00:00+01:00
CH-DE,01/01/2019,06:00-07:00,0,4232,4233,2019-01-01 06:00:00+01:00
CH-DE,01/01/2019,07:00-08:00,0,4232,4233,2019-01-01 07:00:00+01:00
CH-DE,01/01/2019,08:00-09:00,0,4232,4233,2019-01-01 08:00:00+01:00
CH-DE,01/01/2019,09:00-10:00,0,4232,4233,2019-01-01 09:00:00+01:00
CH-DE,01/01/2019,10:00-11:00,0,4232,4233,2019-01-01 10:00:00+01:00
CH-DE,01/01/2019,11:00-12:00,0,4232,4233,2019-01-01 11:00:00+01:00
CH-DE,01/01/2019,12:00-13:00,0,4232,4233,2019-01-01 12:00:00+01:00
CH-DE,01/01/2019,13:00-14:00,0,4232,4233,2019-01-01 13:00:00+01:00
CH-DE,01/01/2019,14:00-15:00,0,4232,4233,2019-01-01 14:00:00+01:00
CH-DE,01/01/2019,15:00-16:00,0,4232,4233,2019-01-01 15:00:00+01:00
CH-DE,01/01/2019,16:00-17:00,0,4232,4233,2019-01-01 16:00:00+01:00
CH-DE,01/01/2019,17:00-18:00,0,4232,4233,2019-01-01 17:00:00+01:00
CH-DE,01/01/2019,18:00-19:00,0,4232,4233,2019-01-01 18:00:00+01:00
CH-DE,01/01/2019,19:00-20:00,0,4232,4233,2019-01-01 19:00:00+01:00
CH-DE,01/01/2019,20:00-21:00,0,4232,4233,2019-01-01 20:00:00+01:00
CH-DE,01/01/2019,21:00-22:00,0,4232,4233,2019-01-01 21:00:00+01:00
CH-DE,01/01/2019,22:00-23:00,0,4232,4233,2019-01-01 22:00:00+01:00
CH-DE,01/01/2019,23:00-24:00,0,4233,4233,2019-01-01 23:00:00+01:00
CH-DE,02/01/2019,00:00-01:00,0,4231,4233,2019-01-02 00:00:00+01:00
CH-DE,02/01/2019,01:00-02:00,0,4231,4233,2019-01-02 01:00:00+01:00
