corridor,date,hour,price,allocatedCapacity,ATC,delivery_begin_time_ch
DE-CH,2019-01-01,00:00-01:00,19.51,567.0,567.0,2019-01-01 00:00:00+01:00
DE-CH,2019-01-01,01:00-02:00,21.96,567.0,567.0,2019-01-01 01:00:00+01:00
DE-CH,2019-01-01,02:00-03:00,27.12,567.0,567.0,2019-01-01 02:00:00+01:00
DE-CH,2019-01-01,03:00-04:00,27.62,567.0,567.0,2019-01-01 03:00:00+01:00
DE-CH,2019-01-01,04:00-05:00,25.19,567.0,567.0,2019-01-01 04:00:00+01:00
DE-CH,2019-01-01,05:00-06:00,31.95,567.0,567.0,2019-01-01 05:00:00+01:00
DE-CH,2019-01-01,06:00-07:00,48.48,567.0,567.0,2019-01-01 06:00:00+01:00
DE-CH,2019-01-01,07:00-08:00,51.53,567.0,567.0,2019-01-01 07:00:00+01:00
DE-CH,2019-01-01,08:00-09:00,43.72,567.0,567.0,2019-01-01 08:00:00+01:00
DE-CH,2019-01-01,09:00-10:00,36.29,567.0,567.0,2019-01-01 09:00:00+01:00
DE-CH,2019-01-01,10:00-11:00,33.1,567.0,567.0,2019-01-01 10:00:00+01:00
DE-CH,2019-01-01,11:00-12:00,30.4,567.0,567.0,2019-01-01 11:00:00+01:00
DE-CH,2019-01-01,12:00-13:00,31.49,567.0,567.0,2019-01-01 12:00:00+01:00
DE-CH,2019-01-01,13:00-14:00,35.46,567.0,567.0,2019-01-01 13:00:00+01:00
DE-CH,2019-01-01,14:00-15:00,38.24,567.0,567.0,2019-01-01 14:00:00+01:00
DE-CH,2019-01-01,15:00-16:00,39.08,567.0,567.0,2019-01-01 15:00:00+01:00
DE-CH,2019-01-01,16:00-17:00,35.49,567.0,567.0,2019-01-01 16:00:00+01:00
DE-CH,2019-01-01,17:00-18:00,32.05,567.0,567.0,2019-01-01 17:00:00+01:00
DE-CH,2019-01-01,18:00-19:00,32.05,567.0,567.0,2019-01-01 18:00:00+01:00
DE-CH,2019-01-01,19:00-20:00,30.72,567.0,567.0,2019-01-01 19:00:00+01:00
DE-CH,2019-01-01,20:00-21:00,35.33,567.0,567.0,2019-01-01 20:00:00+01:00
DE-CH,2019-01-01,21:00-22:00,41.16,567.0,567.0,2019-01-01 21:00:00+01:00
DE-CH,2019-01-01,22:00-23:00,37.16,567.0,567.0,2019-01-01 22:00:00+01:00
DE-CH,2019-01-01,23:00-24:00,47.78,567.0,567.0,2019-01-01 23:00:00+01:00
DE-CH,2019-01-02,00:00-01:00,53.26,567.0,567.0,2019-01-02 00:00:00+01:00
DE-CH,2019-01-02,01:00-02:00,50.61,567.0,567.0,2019-01-02 01:00:00+01:00
DE-CH,2019-01-02,02:00-03:00,46.57,567.0,567.0,2019-01-02 02:00:00+01:00
DE-CH,2019-01-02,03:00-04:00,44.49,567.0,567.0,2019-01-02 03:00:00+01:00
DE-CH,2019-01-02,04:00-05:00,38.27,567.0,567.0,2019-01-02 04:00:00+01:00
DE-CH,2019-01-02,05:00-06:00,32.79,567.0,567.0,2019-01-02 05:00:00+01:00
DE-CH,2019-01-02,06:00-07:00,33.56,567.0,567.0,2019-01-02 06:00:00+01:00
DE-CH,2019-01-02,07:00-08:00,17.98,567.0,567.0,2019-01-02 07:00:00+01:00
DE-CH,2019-01-02,08:00-09:00,11.62,567.0,567.0,2019-01-02 08:00:00+01:00
