,target,data_type,model,rmse,mae,rsq
1,day_ahead_price_ch,Predictive,LightGBM,10.51397986,7.689330101,0.817958911
2,day_ahead_price_ch,Predictive,ARMA,12.72429622,9.322559585,0.733657062
3,day_ahead_price_ch,Predictive,Baseline,12.81561829,8.569030956,0.765961166
4,day_ahead_price_ch,Predictive,NBEATS,13.50781084,9.66909296,0.586302871
5,day_ahead_price_ch,Predictive,GARCH,17.29227314,13.05871452,0.633093548
6,day_ahead_price_ch,Predictive,fastTS,21.29074097,15.65960219,0.573823216
7,day_ahead_price_ch,Predictive,XGBoost,25.88728021,22.54571799,0.712209304
8,day_ahead_price_de,Predictive,GARCH,12.05367044,7.580775103,0.865600189
9,day_ahead_price_de,Predictive,LightGBM,14.99542014,11.16384161,0.745251473
10,day_ahead_price_de,Predictive,XGBoost,17.97530556,13.93785582,0.643802291
11,day_ahead_price_de,Predictive,NBEATS,22.06019463,17.33315535,0.387422448
12,day_ahead_price_de,Predictive,Baseline,22.47345587,16.62820996,0.531204023
13,day_ahead_price_de,Predictive,ARMA,25.79444492,19.61966369,0.616357296
14,day_ahead_price_de,Predictive,fastTS,30.53267757,23.14655654,0.469277028
15,day_ahead_price_ch,Theoretical,LightGBM,8.152329628,6.28199558,0.889411178
16,day_ahead_price_ch,Theoretical,ARMA,12.72429622,9.322559585,0.733657062
17,day_ahead_price_ch,Theoretical,Baseline,12.81561829,8.569030956,0.765961166
18,day_ahead_price_ch,Theoretical,NBEATS,13.22413473,9.448221586,0.622566767
19,day_ahead_price_ch,Theoretical,GARCH,17.29227314,13.05871452,0.633093548
20,day_ahead_price_ch,Theoretical,fastTS,18.838241,13.00116958,0.574850443
21,day_ahead_price_ch,Theoretical,XGBoost,32.05423238,30.14474187,0.830458811
22,day_ahead_price_de,Theoretical,LightGBM,10.21676636,7.743613211,0.881276741
23,day_ahead_price_de,Theoretical,GARCH,12.05367044,7.580775103,0.865600189
24,day_ahead_price_de,Theoretical,ARMA,20.13780264,15.34836197,0.775765512
25,day_ahead_price_de,Theoretical,NBEATS,22.29499987,17.69356733,0.391649614
26,day_ahead_price_de,Theoretical,Baseline,22.47345587,16.62820996,0.531204023
27,day_ahead_price_de,Theoretical,XGBoost,23.88187088,20.46983856,0.888653923
28,day_ahead_price_de,Theoretical,fastTS,29.5288664,21.67801527,0.529584792
